state,district,period,AFI
Andhra Pradesh,Anantapur,2025-04,12.054142836003617
Andhra Pradesh,Anantapur,2025-05,5.583646189896643
Andhra Pradesh,Anantapur,2025-06,19.590741239556365
Andhra Pradesh,Anantapur,2025-07,5.234006456989462
Andhra Pradesh,Anantapur,2025-08,17.44932408280457
Andhra Pradesh,Anantapur,2025-09,18.97665514069472
Andhra Pradesh,Anantapur,2025-10,18.431449899780823
Andhra Pradesh,Anantapur,2025-11,13.9905794052139
Andhra Pradesh,Anantapur,2025-12,12.92270559005003
Andhra Pradesh,Anantapur,NaT,13.4399370033788
Andhra Pradesh,Ananthapur,2025-01,74.9934216594887
Andhra Pradesh,Ananthapur,2025-02,35.4424815018098
Andhra Pradesh,Ananthapur,2025-03,27.407991577864795
Andhra Pradesh,Ananthapur,2025-04,14.269654863891539
Andhra Pradesh,Ananthapur,2025-05,6.2106689200469445
Andhra Pradesh,Ananthapur,2025-06,21.403321558388207
Andhra Pradesh,Ananthapur,2025-07,5.229951736084511
Andhra Pradesh,Ananthapur,2025-08,16.15138814620977
Andhra Pradesh,Ananthapur,2025-09,24.396258411951674
Andhra Pradesh,Ananthapur,2025-10,23.59796063574669
Andhra Pradesh,Ananthapur,2025-11,14.423701084374533
Andhra Pradesh,Ananthapur,2025-12,16.773107690013926
Andhra Pradesh,Ananthapur,NaT,12.518978423972039
Andhra Pradesh,Ananthapuramu,2025-01,74.22661545089234
Andhra Pradesh,Ananthapuramu,2025-02,35.0572179889839
Andhra Pradesh,Ananthapuramu,2025-03,25.19383798648491
Andhra Pradesh,Ananthapuramu,2025-04,16.980035208084573
Andhra Pradesh,Ananthapuramu,2025-05,7.1821300344959385
Andhra Pradesh,Ananthapuramu,2025-06,20.735177915436026
Andhra Pradesh,Ananthapuramu,2025-07,4.276708740427948
Andhra Pradesh,Ananthapuramu,2025-08,16.263147673775507
Andhra Pradesh,Ananthapuramu,2025-09,23.01808224807504
Andhra Pradesh,Ananthapuramu,2025-10,24.786540851047416
Andhra Pradesh,Ananthapuramu,2025-11,18.761089572066545
Andhra Pradesh,Ananthapuramu,2025-12,14.51913395162738
Andhra Pradesh,Ananthapuramu,NaT,12.142514201545843
Andhra Pradesh,Annamayya,2025-01,54.8494374418567
Andhra Pradesh,Annamayya,2025-02,24.668410013695315
Andhra Pradesh,Annamayya,2025-03,15.399073915514998
Andhra Pradesh,Annamayya,2025-04,9.629890515427817
Andhra Pradesh,Annamayya,2025-05,6.311750764544198
Andhra Pradesh,Annamayya,2025-06,11.380459897897552
Andhra Pradesh,Annamayya,2025-08,8.11182468323709
Andhra Pradesh,Annamayya,2025-09,10.291048502141907
Andhra Pradesh,Annamayya,2025-10,14.758793399133891
Andhra Pradesh,Annamayya,2025-11,7.9824726151289465
Andhra Pradesh,Annamayya,2025-12,9.04996442303391
Andhra Pradesh,Annamayya,NaT,9.37347161677677
Andhra Pradesh,Bapatla,2025-01,59.698713639883856
Andhra Pradesh,Bapatla,2025-02,21.43977852722713
Andhra Pradesh,Bapatla,2025-03,13.494312317267479
Andhra Pradesh,Bapatla,2025-04,10.843856725421373
Andhra Pradesh,Bapatla,2025-05,5.2775912010093915
Andhra Pradesh,Bapatla,2025-06,9.824470992038924
Andhra Pradesh,Bapatla,2025-07,4.2009798057357335
Andhra Pradesh,Bapatla,2025-08,7.755712165129181
Andhra Pradesh,Bapatla,2025-09,8.649522099349264
Andhra Pradesh,Bapatla,2025-10,18.310792928940224
Andhra Pradesh,Bapatla,2025-11,9.788341991972313
Andhra Pradesh,Bapatla,2025-12,9.842752161259321
Andhra Pradesh,Bapatla,NaT,10.800451338913334
Andhra Pradesh,Chittoor,2025-01,70.22991835831759
Andhra Pradesh,Chittoor,2025-02,33.21552963856158
Andhra Pradesh,Chittoor,2025-03,22.475048153828673
Andhra Pradesh,Chittoor,2025-04,13.438891565883607
Andhra Pradesh,Chittoor,2025-05,9.007755197535552
Andhra Pradesh,Chittoor,2025-06,17.587477027039117
Andhra Pradesh,Chittoor,2025-07,5.040389961903772
Andhra Pradesh,Chittoor,2025-08,16.117141882305756
Andhra Pradesh,Chittoor,2025-09,17.096879333993
Andhra Pradesh,Chittoor,2025-10,19.385698108401655
Andhra Pradesh,Chittoor,2025-11,15.135769933264404
Andhra Pradesh,Chittoor,2025-12,17.784390504886293
Andhra Pradesh,Chittoor,NaT,13.129806291691612
Andhra Pradesh,Cuddapah,2025-01,71.60389385804433
Andhra Pradesh,Cuddapah,2025-02,33.68588259926971
Andhra Pradesh,Cuddapah,2025-03,26.147878969420464
Andhra Pradesh,Cuddapah,2025-04,14.632239863271803
Andhra Pradesh,Cuddapah,2025-05,9.09512890771987
Andhra Pradesh,Cuddapah,2025-06,17.437433471197636
Andhra Pradesh,Cuddapah,2025-07,4.6168695739544345
Andhra Pradesh,Cuddapah,2025-08,13.881122316758589
Andhra Pradesh,Cuddapah,2025-09,19.66495078923842
Andhra Pradesh,Cuddapah,2025-10,19.928616171674538
Andhra Pradesh,Cuddapah,2025-11,15.504304217901844
Andhra Pradesh,Cuddapah,2025-12,18.18093408999765
Andhra Pradesh,Cuddapah,NaT,12.971676407496856
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,58.364521875912786
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,24.976744620070022
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,17.814628565564927
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,13.424696042262378
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,5.943491542187568
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,13.35898963506839
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,4.368225720712802
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,9.35264894096821
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,11.799268265278824
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,12.576397202395954
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,9.03581241505839
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,10.14261718803128
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,12.540795457461774
Andhra Pradesh,East Godavari,2025-01,72.06832546218124
Andhra Pradesh,East Godavari,2025-02,34.30882522465989
Andhra Pradesh,East Godavari,2025-03,27.254915881745102
Andhra Pradesh,East Godavari,2025-04,14.19666664597855
Andhra Pradesh,East Godavari,2025-05,13.821204261977677
Andhra Pradesh,East Godavari,2025-06,19.303821560089133
Andhra Pradesh,East Godavari,2025-07,5.945138970204487
Andhra Pradesh,East Godavari,2025-08,17.472720766177215
Andhra Pradesh,East Godavari,2025-09,16.568408672316895
Andhra Pradesh,East Godavari,2025-10,20.755060056905027
Andhra Pradesh,East Godavari,2025-11,14.936991684122239
Andhra Pradesh,East Godavari,2025-12,17.602196767957384
Andhra Pradesh,East Godavari,NaT,14.118657010784254
Andhra Pradesh,Eluru,2025-01,59.405279885805356
Andhra Pradesh,Eluru,2025-02,20.420882237685277
Andhra Pradesh,Eluru,2025-03,19.898914731983826
Andhra Pradesh,Eluru,2025-04,10.936873128745537
Andhra Pradesh,Eluru,2025-05,7.950726653364817
Andhra Pradesh,Eluru,2025-06,14.59461278086478
Andhra Pradesh,Eluru,2025-08,8.875591336438548
Andhra Pradesh,Eluru,2025-09,9.65365769409628
Andhra Pradesh,Eluru,2025-10,17.31099681021733
Andhra Pradesh,Eluru,2025-11,10.126697096639168
Andhra Pradesh,Eluru,2025-12,8.831234345101945
Andhra Pradesh,Eluru,NaT,12.016535867725077
Andhra Pradesh,Guntur,2025-01,71.10218602763901
Andhra Pradesh,Guntur,2025-02,33.778907467950916
Andhra Pradesh,Guntur,2025-03,25.59086464078842
Andhra Pradesh,Guntur,2025-04,14.25216348069985
Andhra Pradesh,Guntur,2025-05,8.502791047387591
Andhra Pradesh,Guntur,2025-06,20.007133242500693
Andhra Pradesh,Guntur,2025-07,5.051494072979661
Andhra Pradesh,Guntur,2025-08,15.790431735286269
Andhra Pradesh,Guntur,2025-09,16.315328969114457
Andhra Pradesh,Guntur,2025-10,22.066379258834843
Andhra Pradesh,Guntur,2025-11,14.288991153342764
Andhra Pradesh,Guntur,2025-12,15.048910596593009
Andhra Pradesh,Guntur,NaT,13.083526310682304
Andhra Pradesh,Hyderabad,2025-01,70.76104884980947
Andhra Pradesh,Hyderabad,2025-02,36.29621283875967
Andhra Pradesh,Hyderabad,2025-03,29.463356019740313
Andhra Pradesh,Hyderabad,2025-04,19.289742910511496
Andhra Pradesh,Hyderabad,2025-05,16.080723213260992
Andhra Pradesh,Hyderabad,2025-06,19.320369120614313
Andhra Pradesh,Hyderabad,2025-07,9.359989102369722
Andhra Pradesh,Hyderabad,2025-08,23.77285097984982
Andhra Pradesh,Hyderabad,2025-09,21.384456105111635
Andhra Pradesh,Hyderabad,2025-10,26.763948973497083
Andhra Pradesh,Hyderabad,2025-11,22.558272069612652
Andhra Pradesh,Hyderabad,2025-12,23.994986400044585
Andhra Pradesh,Hyderabad,NaT,20.965146657177453
Andhra Pradesh,K.V. Rangareddy,2025-01,38.630534976355946
Andhra Pradesh,K.V. Rangareddy,2025-04,26.783696774942864
Andhra Pradesh,K.V. Rangareddy,NaT,26.905307580944573
Andhra Pradesh,K.V.Rangareddy,2025-01,27.20857538363495
Andhra Pradesh,K.V.Rangareddy,2025-02,27.117554768741837
Andhra Pradesh,K.V.Rangareddy,2025-04,20.038874868040626
Andhra Pradesh,K.V.Rangareddy,2025-05,3.0800264193062525
Andhra Pradesh,K.V.Rangareddy,2025-06,28.642199450262513
Andhra Pradesh,K.V.Rangareddy,2025-08,19.82627901536237
Andhra Pradesh,K.V.Rangareddy,2025-09,24.312707168450512
Andhra Pradesh,K.V.Rangareddy,2025-10,25.322012256983207
Andhra Pradesh,K.V.Rangareddy,2025-12,26.885019359402477
Andhra Pradesh,K.V.Rangareddy,NaT,37.2037220417377
Andhra Pradesh,Kakinada,2025-01,59.58252868656186
Andhra Pradesh,Kakinada,2025-02,22.55077208587061
Andhra Pradesh,Kakinada,2025-03,16.2362002848318
Andhra Pradesh,Kakinada,2025-04,9.145650541742514
Andhra Pradesh,Kakinada,2025-05,7.61748192384482
Andhra Pradesh,Kakinada,2025-06,11.480838156623593
Andhra Pradesh,Kakinada,2025-07,4.935067126861007
Andhra Pradesh,Kakinada,2025-08,7.904081815004645
Andhra Pradesh,Kakinada,2025-09,10.009798405881739
Andhra Pradesh,Kakinada,2025-10,12.066359806890256
Andhra Pradesh,Kakinada,2025-11,9.565510400296551
Andhra Pradesh,Kakinada,2025-12,9.549745005361324
Andhra Pradesh,Kakinada,NaT,10.8884864800696
Andhra Pradesh,Karim Nagar,2025-01,58.809946372585244
Andhra Pradesh,Karim Nagar,2025-02,27.82931642412119
Andhra Pradesh,Karim Nagar,2025-03,22.222775006746733
Andhra Pradesh,Karim Nagar,2025-04,21.355618976983866
Andhra Pradesh,Karim Nagar,2025-05,8.569441838439154
Andhra Pradesh,Karim Nagar,2025-06,22.74867586868912
Andhra Pradesh,Karim Nagar,2025-08,11.825047304432164
Andhra Pradesh,Karim Nagar,2025-09,23.94826135034519
Andhra Pradesh,Karim Nagar,2025-11,24.96177480314195
Andhra Pradesh,Karim Nagar,2025-12,20.926114988300174
Andhra Pradesh,Karim Nagar,NaT,19.831468561257402
Andhra Pradesh,Karimnagar,2025-01,64.54466318219939
Andhra Pradesh,Karimnagar,2025-02,34.62628884065992
Andhra Pradesh,Karimnagar,2025-03,28.433068557863418
Andhra Pradesh,Karimnagar,2025-04,20.28825639509553
Andhra Pradesh,Karimnagar,2025-05,12.547966330554168
Andhra Pradesh,Karimnagar,2025-06,20.8700517490728
Andhra Pradesh,Karimnagar,2025-07,4.316781637596077
Andhra Pradesh,Karimnagar,2025-08,18.488180390797726
Andhra Pradesh,Karimnagar,2025-09,23.03636095604083
Andhra Pradesh,Karimnagar,2025-10,25.666171792188567
Andhra Pradesh,Karimnagar,2025-11,24.640124657349453
Andhra Pradesh,Karimnagar,2025-12,22.244732143309623
Andhra Pradesh,Karimnagar,NaT,22.345143351048563
Andhra Pradesh,Khammam,2025-01,66.5038317472605
Andhra Pradesh,Khammam,2025-02,29.595730943086426
Andhra Pradesh,Khammam,2025-03,22.515493911107935
Andhra Pradesh,Khammam,2025-04,14.136604996535011
Andhra Pradesh,Khammam,2025-05,9.303088591428404
Andhra Pradesh,Khammam,2025-06,16.553549611014528
Andhra Pradesh,Khammam,2025-07,4.496388775809199
Andhra Pradesh,Khammam,2025-08,17.453995476466005
Andhra Pradesh,Khammam,2025-09,16.924863314501867
Andhra Pradesh,Khammam,2025-10,17.985096621879382
Andhra Pradesh,Khammam,2025-11,18.351799616581456
Andhra Pradesh,Khammam,2025-12,18.790343557906922
Andhra Pradesh,Khammam,NaT,18.95464813356184
Andhra Pradesh,Krishna,2025-01,72.10485117708252
Andhra Pradesh,Krishna,2025-02,34.36359084146844
Andhra Pradesh,Krishna,2025-03,26.098301927981243
Andhra Pradesh,Krishna,2025-04,16.65863437753405
Andhra Pradesh,Krishna,2025-05,15.126414770435755
Andhra Pradesh,Krishna,2025-06,20.102740079546642
Andhra Pradesh,Krishna,2025-07,6.322538008366502
Andhra Pradesh,Krishna,2025-08,15.375765675975526
Andhra Pradesh,Krishna,2025-09,18.67814424307744
Andhra Pradesh,Krishna,2025-10,20.423467695407904
Andhra Pradesh,Krishna,2025-11,18.802744549484103
Andhra Pradesh,Krishna,2025-12,19.89922372081265
Andhra Pradesh,Krishna,NaT,16.082804807319846
Andhra Pradesh,Kurnool,2025-01,71.49766037742839
Andhra Pradesh,Kurnool,2025-02,34.39821306846695
Andhra Pradesh,Kurnool,2025-03,30.986929250725105
Andhra Pradesh,Kurnool,2025-04,18.114313209492806
Andhra Pradesh,Kurnool,2025-05,9.706554148587188
Andhra Pradesh,Kurnool,2025-06,22.235807228848113
Andhra Pradesh,Kurnool,2025-07,4.844917257376614
Andhra Pradesh,Kurnool,2025-08,17.491104207630382
Andhra Pradesh,Kurnool,2025-09,20.938360973377534
Andhra Pradesh,Kurnool,2025-10,22.683501238389383
Andhra Pradesh,Kurnool,2025-11,19.027909453779795
Andhra Pradesh,Kurnool,2025-12,21.628508358787048
Andhra Pradesh,Kurnool,NaT,14.929089497825414
Andhra Pradesh,Mahabub Nagar,2025-01,42.35510403385493
Andhra Pradesh,Mahabub Nagar,2025-02,27.3998896307481
Andhra Pradesh,Mahabub Nagar,2025-03,24.525376944227222
Andhra Pradesh,Mahabub Nagar,2025-04,17.724838911861422
Andhra Pradesh,Mahabub Nagar,2025-05,16.06787352019849
Andhra Pradesh,Mahabub Nagar,2025-06,19.615020652379084
Andhra Pradesh,Mahabub Nagar,2025-07,3.0518236754112
Andhra Pradesh,Mahabub Nagar,2025-08,23.383362557942807
Andhra Pradesh,Mahabub Nagar,2025-09,21.906597208633556
Andhra Pradesh,Mahabub Nagar,2025-10,23.746096842305384
Andhra Pradesh,Mahabub Nagar,2025-11,23.013717545598787
Andhra Pradesh,Mahabub Nagar,2025-12,28.621253109714242
Andhra Pradesh,Mahabub Nagar,NaT,34.422781043264465
Andhra Pradesh,Mahabubnagar,2025-03,11.002467339009693
Andhra Pradesh,Mahabubnagar,2025-11,2.8067922171583586
Andhra Pradesh,Mahabubnagar,NaT,30.464182453236106
Andhra Pradesh,Mahbubnagar,2025-01,60.990427939838376
Andhra Pradesh,Mahbubnagar,2025-02,33.87418547344262
Andhra Pradesh,Mahbubnagar,2025-03,29.225859648575277
Andhra Pradesh,Mahbubnagar,2025-04,15.961555995586945
Andhra Pradesh,Mahbubnagar,2025-05,12.349054401212797
Andhra Pradesh,Mahbubnagar,2025-06,20.85618171090593
Andhra Pradesh,Mahbubnagar,2025-08,15.820439023808316
Andhra Pradesh,Mahbubnagar,2025-09,17.909646634870168
Andhra Pradesh,Mahbubnagar,2025-10,24.396740067297223
Andhra Pradesh,Mahbubnagar,2025-11,21.008328545884506
Andhra Pradesh,Mahbubnagar,2025-12,23.483553863465957
Andhra Pradesh,Mahbubnagar,NaT,19.67895662588742
Andhra Pradesh,Medak,2025-01,62.42797881817734
Andhra Pradesh,Medak,2025-02,35.00620293416614
Andhra Pradesh,Medak,2025-03,27.932862364205487
Andhra Pradesh,Medak,2025-04,20.605059100743535
Andhra Pradesh,Medak,2025-05,12.781332283384277
Andhra Pradesh,Medak,2025-06,21.788613826324696
Andhra Pradesh,Medak,2025-08,21.563592112297243
Andhra Pradesh,Medak,2025-09,24.40006903109499
Andhra Pradesh,Medak,2025-10,25.09706111876
Andhra Pradesh,Medak,2025-11,21.879613043236247
Andhra Pradesh,Medak,2025-12,20.696261212072965
Andhra Pradesh,Medak,NaT,19.94349853317621
Andhra Pradesh,N. T. R,2025-01,59.1998863339619
Andhra Pradesh,N. T. R,2025-02,24.363447543370317
Andhra Pradesh,N. T. R,2025-03,19.40463917321459
Andhra Pradesh,N. T. R,2025-04,11.562116010406811
Andhra Pradesh,N. T. R,2025-05,6.858410697676543
Andhra Pradesh,N. T. R,2025-06,9.779203949325618
Andhra Pradesh,N. T. R,2025-07,5.706278416200357
Andhra Pradesh,N. T. R,2025-08,17.065668390174746
Andhra Pradesh,N. T. R,2025-09,8.51212129952725
Andhra Pradesh,N. T. R,2025-10,13.969785889011755
Andhra Pradesh,N. T. R,2025-11,10.14782500927056
Andhra Pradesh,N. T. R,2025-12,8.086637117984438
Andhra Pradesh,N. T. R,NaT,11.158650051693325
Andhra Pradesh,Nalgonda,2025-01,60.66747083788208
Andhra Pradesh,Nalgonda,2025-02,29.98775101119708
Andhra Pradesh,Nalgonda,2025-03,25.064249234874044
Andhra Pradesh,Nalgonda,2025-04,12.937716428762931
Andhra Pradesh,Nalgonda,2025-05,11.608812094765446
Andhra Pradesh,Nalgonda,2025-06,20.104683573916766
Andhra Pradesh,Nalgonda,2025-08,16.494865941834952
Andhra Pradesh,Nalgonda,2025-09,21.032971262208314
Andhra Pradesh,Nalgonda,2025-10,18.898105392560872
Andhra Pradesh,Nalgonda,2025-11,20.714978380051786
Andhra Pradesh,Nalgonda,2025-12,23.1641809985196
Andhra Pradesh,Nalgonda,NaT,19.14197143807203
Andhra Pradesh,Nandyal,2025-01,57.10113482267807
Andhra Pradesh,Nandyal,2025-02,23.78926438475053
Andhra Pradesh,Nandyal,2025-03,19.03902924180186
Andhra Pradesh,Nandyal,2025-04,10.21643755808955
Andhra Pradesh,Nandyal,2025-05,8.392889071725973
Andhra Pradesh,Nandyal,2025-06,15.463308424583602
Andhra Pradesh,Nandyal,2025-08,9.623965841765413
Andhra Pradesh,Nandyal,2025-09,10.215188846532739
Andhra Pradesh,Nandyal,2025-10,12.549311573872384
Andhra Pradesh,Nandyal,2025-11,14.16812608192078
Andhra Pradesh,Nandyal,2025-12,13.67636943986285
Andhra Pradesh,Nandyal,NaT,10.132513684600939
Andhra Pradesh,Nellore,2025-01,72.16573405726828
Andhra Pradesh,Nellore,2025-02,32.966988137720826
Andhra Pradesh,Nellore,2025-03,27.06875402780309
Andhra Pradesh,Nellore,2025-04,16.10951377242772
Andhra Pradesh,Nellore,2025-05,11.598204337138949
Andhra Pradesh,Nellore,2025-06,19.18297953385895
Andhra Pradesh,Nellore,2025-07,4.991647371691196
Andhra Pradesh,Nellore,2025-08,19.406341816692237
Andhra Pradesh,Nellore,2025-09,17.64293721855611
Andhra Pradesh,Nellore,2025-10,16.90667065532444
Andhra Pradesh,Nellore,2025-11,20.284350893209254
Andhra Pradesh,Nellore,2025-12,19.467484374351
Andhra Pradesh,Nellore,NaT,13.915227846131451
Andhra Pradesh,Nizamabad,2025-01,62.56536074185242
Andhra Pradesh,Nizamabad,2025-02,30.729815854219957
Andhra Pradesh,Nizamabad,2025-03,29.36522196418487
Andhra Pradesh,Nizamabad,2025-04,12.770135191817916
Andhra Pradesh,Nizamabad,2025-06,24.61906806888776
Andhra Pradesh,Nizamabad,2025-08,16.962879929026613
Andhra Pradesh,Nizamabad,2025-09,19.789220287755484
Andhra Pradesh,Nizamabad,2025-10,21.00492702203378
Andhra Pradesh,Nizamabad,2025-11,26.464117060123055
Andhra Pradesh,Nizamabad,2025-12,25.04364056819768
Andhra Pradesh,Nizamabad,NaT,19.250781530544714
Andhra Pradesh,Palnadu,2025-01,57.59338552739595
Andhra Pradesh,Palnadu,2025-02,21.969613098374094
Andhra Pradesh,Palnadu,2025-03,18.91218653076486
Andhra Pradesh,Palnadu,2025-04,9.416059968650456
Andhra Pradesh,Palnadu,2025-05,5.661979580165651
Andhra Pradesh,Palnadu,2025-06,15.369795255148942
Andhra Pradesh,Palnadu,2025-08,9.016445944748092
Andhra Pradesh,Palnadu,2025-09,7.099416005234913
Andhra Pradesh,Palnadu,2025-10,12.7771394967836
Andhra Pradesh,Palnadu,2025-11,14.071708222700577
Andhra Pradesh,Palnadu,2025-12,11.992944777987065
Andhra Pradesh,Palnadu,NaT,10.442665331842393
Andhra Pradesh,Parvathipuram Manyam,2025-01,68.7465673392515
Andhra Pradesh,Parvathipuram Manyam,2025-02,30.62229849029186
Andhra Pradesh,Parvathipuram Manyam,2025-03,23.640597307305967
Andhra Pradesh,Parvathipuram Manyam,2025-04,12.471038785774857
Andhra Pradesh,Parvathipuram Manyam,2025-05,15.982278502794111
Andhra Pradesh,Parvathipuram Manyam,2025-06,17.126602564490565
Andhra Pradesh,Parvathipuram Manyam,2025-07,4.276448233630333
Andhra Pradesh,Parvathipuram Manyam,2025-08,12.413670289378851
Andhra Pradesh,Parvathipuram Manyam,2025-09,14.733219939558134
Andhra Pradesh,Parvathipuram Manyam,2025-10,16.085476042743732
Andhra Pradesh,Parvathipuram Manyam,2025-11,21.26898035013696
Andhra Pradesh,Parvathipuram Manyam,2025-12,15.460065117794258
Andhra Pradesh,Parvathipuram Manyam,NaT,11.797405137988074
Andhra Pradesh,Prakasam,2025-01,70.74308676673999
Andhra Pradesh,Prakasam,2025-02,31.016003235071853
Andhra Pradesh,Prakasam,2025-03,25.189735900360713
Andhra Pradesh,Prakasam,2025-04,13.814860961726334
