state,district,period,biometric_update_count
Andhra Pradesh,Alluri Sitharama Raju,2025-11,70
Andhra Pradesh,Alluri Sitharama Raju,2025-12,106
Andhra Pradesh,Alluri Sitharama Raju,NaT,481
Andhra Pradesh,Anakapalli,2025-01,3982
Andhra Pradesh,Anakapalli,2025-02,31
Andhra Pradesh,Anakapalli,2025-03,15
Andhra Pradesh,Anakapalli,2025-04,24
Andhra Pradesh,Anakapalli,2025-05,4
Andhra Pradesh,Anakapalli,2025-06,40
Andhra Pradesh,Anakapalli,2025-08,31
Andhra Pradesh,Anakapalli,2025-09,23
Andhra Pradesh,Anakapalli,2025-10,25
Andhra Pradesh,Anakapalli,2025-11,22
Andhra Pradesh,Anakapalli,2025-12,18
Andhra Pradesh,Anakapalli,NaT,125
Andhra Pradesh,Anantapur,2025-01,53058
Andhra Pradesh,Anantapur,2025-02,419
Andhra Pradesh,Anantapur,2025-03,383
Andhra Pradesh,Anantapur,2025-04,263
Andhra Pradesh,Anantapur,2025-05,24
Andhra Pradesh,Anantapur,2025-06,386
Andhra Pradesh,Anantapur,2025-07,11
Andhra Pradesh,Anantapur,2025-08,407
Andhra Pradesh,Anantapur,2025-09,335
Andhra Pradesh,Anantapur,2025-10,320
Andhra Pradesh,Anantapur,2025-11,343
Andhra Pradesh,Anantapur,2025-12,319
Andhra Pradesh,Anantapur,NaT,1789
Andhra Pradesh,Ananthapur,2025-01,60825
Andhra Pradesh,Ananthapur,2025-02,231
Andhra Pradesh,Ananthapur,2025-03,228
Andhra Pradesh,Ananthapur,2025-04,131
Andhra Pradesh,Ananthapur,2025-05,13
Andhra Pradesh,Ananthapur,2025-06,264
Andhra Pradesh,Ananthapur,2025-07,6
Andhra Pradesh,Ananthapur,2025-08,200
Andhra Pradesh,Ananthapur,2025-09,219
Andhra Pradesh,Ananthapur,2025-10,252
Andhra Pradesh,Ananthapur,2025-11,190
Andhra Pradesh,Ananthapur,2025-12,161
Andhra Pradesh,Ananthapur,NaT,943
Andhra Pradesh,Ananthapuramu,2025-01,82354
Andhra Pradesh,Ananthapuramu,2025-02,281
Andhra Pradesh,Ananthapuramu,2025-03,262
Andhra Pradesh,Ananthapuramu,2025-04,184
Andhra Pradesh,Ananthapuramu,2025-05,21
Andhra Pradesh,Ananthapuramu,2025-06,358
Andhra Pradesh,Ananthapuramu,2025-08,198
Andhra Pradesh,Ananthapuramu,2025-09,250
Andhra Pradesh,Ananthapuramu,2025-10,360
Andhra Pradesh,Ananthapuramu,2025-11,218
Andhra Pradesh,Ananthapuramu,2025-12,195
Andhra Pradesh,Ananthapuramu,NaT,1059
Andhra Pradesh,Annamayya,2025-01,5848
Andhra Pradesh,Annamayya,2025-02,52
Andhra Pradesh,Annamayya,2025-03,42
Andhra Pradesh,Annamayya,2025-04,18
Andhra Pradesh,Annamayya,2025-05,10
Andhra Pradesh,Annamayya,2025-06,39
Andhra Pradesh,Annamayya,2025-08,40
Andhra Pradesh,Annamayya,2025-09,39
Andhra Pradesh,Annamayya,2025-10,39
Andhra Pradesh,Annamayya,2025-11,31
Andhra Pradesh,Annamayya,2025-12,36
Andhra Pradesh,Annamayya,NaT,148
Andhra Pradesh,Bapatla,2025-01,3088
Andhra Pradesh,Bapatla,2025-02,25
Andhra Pradesh,Bapatla,2025-03,8
Andhra Pradesh,Bapatla,2025-04,17
Andhra Pradesh,Bapatla,2025-05,3
Andhra Pradesh,Bapatla,2025-06,31
Andhra Pradesh,Bapatla,2025-08,15
Andhra Pradesh,Bapatla,2025-09,13
Andhra Pradesh,Bapatla,2025-10,26
Andhra Pradesh,Bapatla,2025-11,26
Andhra Pradesh,Bapatla,2025-12,22
Andhra Pradesh,Bapatla,NaT,82
Andhra Pradesh,Chittoor,2025-01,159437
Andhra Pradesh,Chittoor,2025-02,832
Andhra Pradesh,Chittoor,2025-03,721
Andhra Pradesh,Chittoor,2025-04,638
Andhra Pradesh,Chittoor,2025-05,187
Andhra Pradesh,Chittoor,2025-06,950
Andhra Pradesh,Chittoor,2025-07,12
Andhra Pradesh,Chittoor,2025-08,782
Andhra Pradesh,Chittoor,2025-09,745
Andhra Pradesh,Chittoor,2025-10,728
Andhra Pradesh,Chittoor,2025-11,687
Andhra Pradesh,Chittoor,2025-12,732
Andhra Pradesh,Chittoor,NaT,3739
Andhra Pradesh,Cuddapah,2025-01,108569
Andhra Pradesh,Cuddapah,2025-02,622
Andhra Pradesh,Cuddapah,2025-03,621
Andhra Pradesh,Cuddapah,2025-04,336
Andhra Pradesh,Cuddapah,2025-05,109
Andhra Pradesh,Cuddapah,2025-06,596
Andhra Pradesh,Cuddapah,2025-07,5
Andhra Pradesh,Cuddapah,2025-08,480
Andhra Pradesh,Cuddapah,2025-09,535
Andhra Pradesh,Cuddapah,2025-10,627
Andhra Pradesh,Cuddapah,2025-11,455
Andhra Pradesh,Cuddapah,2025-12,463
Andhra Pradesh,Cuddapah,NaT,2589
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,3603
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,38
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,43
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,25
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,6
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,41
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,29
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,34
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,26
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,30
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,24
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,155
Andhra Pradesh,East Godavari,2025-01,191148
Andhra Pradesh,East Godavari,2025-02,991
Andhra Pradesh,East Godavari,2025-03,1217
Andhra Pradesh,East Godavari,2025-04,670
Andhra Pradesh,East Godavari,2025-05,305
Andhra Pradesh,East Godavari,2025-06,1016
Andhra Pradesh,East Godavari,2025-07,37
Andhra Pradesh,East Godavari,2025-08,798
Andhra Pradesh,East Godavari,2025-09,886
Andhra Pradesh,East Godavari,2025-10,1081
Andhra Pradesh,East Godavari,2025-11,861
Andhra Pradesh,East Godavari,2025-12,848
Andhra Pradesh,East Godavari,NaT,4981
Andhra Pradesh,Eluru,2025-01,5114
Andhra Pradesh,Eluru,2025-02,33
Andhra Pradesh,Eluru,2025-03,79
Andhra Pradesh,Eluru,2025-04,31
Andhra Pradesh,Eluru,2025-05,8
Andhra Pradesh,Eluru,2025-06,45
Andhra Pradesh,Eluru,2025-08,35
Andhra Pradesh,Eluru,2025-09,42
Andhra Pradesh,Eluru,2025-10,47
Andhra Pradesh,Eluru,2025-11,37
Andhra Pradesh,Eluru,2025-12,30
Andhra Pradesh,Eluru,NaT,168
Andhra Pradesh,Guntur,2025-01,191317
Andhra Pradesh,Guntur,2025-02,784
Andhra Pradesh,Guntur,2025-03,1121
Andhra Pradesh,Guntur,2025-04,660
Andhra Pradesh,Guntur,2025-05,164
Andhra Pradesh,Guntur,2025-06,1038
Andhra Pradesh,Guntur,2025-07,25
Andhra Pradesh,Guntur,2025-08,617
Andhra Pradesh,Guntur,2025-09,770
Andhra Pradesh,Guntur,2025-10,1024
Andhra Pradesh,Guntur,2025-11,664
Andhra Pradesh,Guntur,2025-12,770
Andhra Pradesh,Guntur,NaT,4185
Andhra Pradesh,Hyderabad,2025-01,61902
Andhra Pradesh,Hyderabad,2025-02,608
Andhra Pradesh,Hyderabad,2025-03,845
Andhra Pradesh,Hyderabad,2025-04,545
Andhra Pradesh,Hyderabad,2025-05,102
Andhra Pradesh,Hyderabad,2025-06,177
Andhra Pradesh,Hyderabad,2025-07,52
Andhra Pradesh,Hyderabad,2025-08,531
Andhra Pradesh,Hyderabad,2025-09,659
Andhra Pradesh,Hyderabad,2025-10,863
Andhra Pradesh,Hyderabad,2025-11,589
Andhra Pradesh,Hyderabad,2025-12,603
Andhra Pradesh,Hyderabad,NaT,3824
Andhra Pradesh,K.V. Rangareddy,2025-01,56
Andhra Pradesh,K.V. Rangareddy,2025-02,6
Andhra Pradesh,K.V. Rangareddy,2025-03,3
Andhra Pradesh,K.V. Rangareddy,2025-04,12
Andhra Pradesh,K.V. Rangareddy,2025-05,2
Andhra Pradesh,K.V. Rangareddy,2025-06,4
Andhra Pradesh,K.V. Rangareddy,2025-08,4
Andhra Pradesh,K.V. Rangareddy,2025-09,4
Andhra Pradesh,K.V. Rangareddy,2025-10,9
Andhra Pradesh,K.V. Rangareddy,2025-11,1
Andhra Pradesh,K.V. Rangareddy,2025-12,2
Andhra Pradesh,K.V. Rangareddy,NaT,31
Andhra Pradesh,K.V.Rangareddy,2025-01,28
Andhra Pradesh,K.V.Rangareddy,2025-02,14
Andhra Pradesh,K.V.Rangareddy,2025-03,19
Andhra Pradesh,K.V.Rangareddy,2025-04,9
Andhra Pradesh,K.V.Rangareddy,2025-06,16
Andhra Pradesh,K.V.Rangareddy,2025-08,6
Andhra Pradesh,K.V.Rangareddy,2025-09,9
Andhra Pradesh,K.V.Rangareddy,2025-10,15
Andhra Pradesh,K.V.Rangareddy,2025-11,15
Andhra Pradesh,K.V.Rangareddy,2025-12,16
Andhra Pradesh,K.V.Rangareddy,NaT,75
Andhra Pradesh,Kakinada,2025-01,6802
Andhra Pradesh,Kakinada,2025-02,31
Andhra Pradesh,Kakinada,2025-03,37
Andhra Pradesh,Kakinada,2025-04,30
Andhra Pradesh,Kakinada,2025-05,11
Andhra Pradesh,Kakinada,2025-06,44
Andhra Pradesh,Kakinada,2025-07,4
Andhra Pradesh,Kakinada,2025-08,24
Andhra Pradesh,Kakinada,2025-09,50
Andhra Pradesh,Kakinada,2025-10,43
Andhra Pradesh,Kakinada,2025-11,32
Andhra Pradesh,Kakinada,2025-12,27
Andhra Pradesh,Kakinada,NaT,205
Andhra Pradesh,Karim Nagar,2025-01,560
Andhra Pradesh,Karim Nagar,2025-02,14
Andhra Pradesh,Karim Nagar,2025-03,15
Andhra Pradesh,Karim Nagar,2025-04,13
Andhra Pradesh,Karim Nagar,2025-05,2
Andhra Pradesh,Karim Nagar,2025-06,26
Andhra Pradesh,Karim Nagar,2025-08,11
Andhra Pradesh,Karim Nagar,2025-09,19
Andhra Pradesh,Karim Nagar,2025-10,28
Andhra Pradesh,Karim Nagar,2025-11,28
Andhra Pradesh,Karim Nagar,2025-12,15
Andhra Pradesh,Karim Nagar,NaT,69
Andhra Pradesh,Karimnagar,2025-01,7440
Andhra Pradesh,Karimnagar,2025-02,233
Andhra Pradesh,Karimnagar,2025-03,263
Andhra Pradesh,Karimnagar,2025-04,200
Andhra Pradesh,Karimnagar,2025-05,20
Andhra Pradesh,Karimnagar,2025-06,89
Andhra Pradesh,Karimnagar,2025-07,1
Andhra Pradesh,Karimnagar,2025-08,99
Andhra Pradesh,Karimnagar,2025-09,208
Andhra Pradesh,Karimnagar,2025-10,344
Andhra Pradesh,Karimnagar,2025-11,225
Andhra Pradesh,Karimnagar,2025-12,212
Andhra Pradesh,Karimnagar,NaT,946
Andhra Pradesh,Khammam,2025-01,22154
Andhra Pradesh,Khammam,2025-02,234
Andhra Pradesh,Khammam,2025-03,300
Andhra Pradesh,Khammam,2025-04,240
Andhra Pradesh,Khammam,2025-05,38
Andhra Pradesh,Khammam,2025-06,147
Andhra Pradesh,Khammam,2025-07,4
Andhra Pradesh,Khammam,2025-08,210
Andhra Pradesh,Khammam,2025-09,241
Andhra Pradesh,Khammam,2025-10,303
Andhra Pradesh,Khammam,2025-11,334
Andhra Pradesh,Khammam,2025-12,341
Andhra Pradesh,Khammam,NaT,1864
Andhra Pradesh,Krishna,2025-01,150403
Andhra Pradesh,Krishna,2025-02,912
Andhra Pradesh,Krishna,2025-03,1169
Andhra Pradesh,Krishna,2025-04,727
Andhra Pradesh,Krishna,2025-05,357
Andhra Pradesh,Krishna,2025-06,865
Andhra Pradesh,Krishna,2025-07,40
Andhra Pradesh,Krishna,2025-08,702
Andhra Pradesh,Krishna,2025-09,814
Andhra Pradesh,Krishna,2025-10,963
Andhra Pradesh,Krishna,2025-11,769
Andhra Pradesh,Krishna,2025-12,976
Andhra Pradesh,Krishna,NaT,4970
Andhra Pradesh,Kurnool,2025-01,234944
Andhra Pradesh,Kurnool,2025-02,1192
Andhra Pradesh,Kurnool,2025-03,1729
Andhra Pradesh,Kurnool,2025-04,962
Andhra Pradesh,Kurnool,2025-05,199
Andhra Pradesh,Kurnool,2025-06,1140
Andhra Pradesh,Kurnool,2025-07,18
Andhra Pradesh,Kurnool,2025-08,924
Andhra Pradesh,Kurnool,2025-09,1045
Andhra Pradesh,Kurnool,2025-10,1262
Andhra Pradesh,Kurnool,2025-11,962
Andhra Pradesh,Kurnool,2025-12,899
Andhra Pradesh,Kurnool,NaT,4871
Andhra Pradesh,Mahabub Nagar,2025-01,1608
Andhra Pradesh,Mahabub Nagar,2025-02,224
Andhra Pradesh,Mahabub Nagar,2025-03,291
Andhra Pradesh,Mahabub Nagar,2025-04,199
Andhra Pradesh,Mahabub Nagar,2025-05,39
Andhra Pradesh,Mahabub Nagar,2025-06,137
Andhra Pradesh,Mahabub Nagar,2025-07,1
Andhra Pradesh,Mahabub Nagar,2025-08,273
Andhra Pradesh,Mahabub Nagar,2025-09,241
Andhra Pradesh,Mahabub Nagar,2025-10,328
Andhra Pradesh,Mahabub Nagar,2025-11,240
Andhra Pradesh,Mahabub Nagar,2025-12,269
Andhra Pradesh,Mahabub Nagar,NaT,1264
Andhra Pradesh,Mahabubnagar,2025-01,3
Andhra Pradesh,Mahabubnagar,2025-02,5
Andhra Pradesh,Mahabubnagar,2025-03,1
Andhra Pradesh,Mahabubnagar,2025-04,2
Andhra Pradesh,Mahabubnagar,2025-08,5
Andhra Pradesh,Mahabubnagar,2025-09,1
Andhra Pradesh,Mahabubnagar,2025-10,8
Andhra Pradesh,Mahabubnagar,NaT,15
Andhra Pradesh,Mahbubnagar,2025-01,6241
Andhra Pradesh,Mahbubnagar,2025-02,143
Andhra Pradesh,Mahbubnagar,2025-03,236
Andhra Pradesh,Mahbubnagar,2025-04,120
Andhra Pradesh,Mahbubnagar,2025-05,28
Andhra Pradesh,Mahbubnagar,2025-06,84
Andhra Pradesh,Mahbubnagar,2025-07,1
Andhra Pradesh,Mahbubnagar,2025-08,89
Andhra Pradesh,Mahbubnagar,2025-09,141
Andhra Pradesh,Mahbubnagar,2025-10,228
Andhra Pradesh,Mahbubnagar,2025-11,104
Andhra Pradesh,Mahbubnagar,2025-12,141
Andhra Pradesh,Mahbubnagar,NaT,700
Andhra Pradesh,Medak,2025-01,9791
Andhra Pradesh,Medak,2025-02,264
Andhra Pradesh,Medak,2025-03,305
Andhra Pradesh,Medak,2025-04,251
Andhra Pradesh,Medak,2025-05,35
Andhra Pradesh,Medak,2025-06,179
Andhra Pradesh,Medak,2025-07,2
Andhra Pradesh,Medak,2025-08,163
Andhra Pradesh,Medak,2025-09,270
Andhra Pradesh,Medak,2025-10,368
Andhra Pradesh,Medak,2025-11,197
Andhra Pradesh,Medak,2025-12,193
Andhra Pradesh,Medak,NaT,1029
Andhra Pradesh,N. T. R,2025-01,8868
Andhra Pradesh,N. T. R,2025-02,58
Andhra Pradesh,N. T. R,2025-03,87
Andhra Pradesh,N. T. R,2025-04,42
Andhra Pradesh,N. T. R,2025-05,20
Andhra Pradesh,N. T. R,2025-06,52
Andhra Pradesh,N. T. R,2025-07,10
Andhra Pradesh,N. T. R,2025-08,58
Andhra Pradesh,N. T. R,2025-09,54
Andhra Pradesh,N. T. R,2025-10,67
Andhra Pradesh,N. T. R,2025-11,49
Andhra Pradesh,N. T. R,2025-12,50
Andhra Pradesh,N. T. R,NaT,292
Andhra Pradesh,Nalgonda,2025-01,13428
Andhra Pradesh,Nalgonda,2025-02,315
Andhra Pradesh,Nalgonda,2025-03,389
Andhra Pradesh,Nalgonda,2025-04,246
Andhra Pradesh,Nalgonda,2025-05,48
Andhra Pradesh,Nalgonda,2025-06,143
Andhra Pradesh,Nalgonda,2025-07,1
Andhra Pradesh,Nalgonda,2025-08,236
Andhra Pradesh,Nalgonda,2025-09,314
Andhra Pradesh,Nalgonda,2025-10,336
Andhra Pradesh,Nalgonda,2025-11,242
Andhra Pradesh,Nalgonda,2025-12,298
Andhra Pradesh,Nalgonda,NaT,1560
Andhra Pradesh,Nandyal,2025-01,6236
Andhra Pradesh,Nandyal,2025-02,41
Andhra Pradesh,Nandyal,2025-03,46
Andhra Pradesh,Nandyal,2025-04,37
Andhra Pradesh,Nandyal,2025-05,14
Andhra Pradesh,Nandyal,2025-06,47
Andhra Pradesh,Nandyal,2025-08,33
Andhra Pradesh,Nandyal,2025-09,39
Andhra Pradesh,Nandyal,2025-10,49
Andhra Pradesh,Nandyal,2025-11,30
Andhra Pradesh,Nandyal,2025-12,34
Andhra Pradesh,Nandyal,NaT,175
Andhra Pradesh,Nellore,2025-01,103134
Andhra Pradesh,Nellore,2025-02,579
Andhra Pradesh,Nellore,2025-03,748
Andhra Pradesh,Nellore,2025-04,489
Andhra Pradesh,Nellore,2025-05,123
Andhra Pradesh,Nellore,2025-06,537
Andhra Pradesh,Nellore,2025-07,8
Andhra Pradesh,Nellore,2025-08,446
Andhra Pradesh,Nellore,2025-09,464
Andhra Pradesh,Nellore,2025-10,717
Andhra Pradesh,Nellore,2025-11,428
Andhra Pradesh,Nellore,2025-12,468
Andhra Pradesh,Nellore,NaT,2500
Andhra Pradesh,Nizamabad,2025-01,5014
Andhra Pradesh,Nizamabad,2025-02,89
Andhra Pradesh,Nizamabad,2025-03,148
Andhra Pradesh,Nizamabad,2025-04,58
Andhra Pradesh,Nizamabad,2025-05,7
Andhra Pradesh,Nizamabad,2025-06,63
Andhra Pradesh,Nizamabad,2025-07,1
Andhra Pradesh,Nizamabad,2025-08,45
Andhra Pradesh,Nizamabad,2025-09,61
Andhra Pradesh,Nizamabad,2025-10,116
Andhra Pradesh,Nizamabad,2025-11,74
Andhra Pradesh,Nizamabad,2025-12,97
Andhra Pradesh,Nizamabad,NaT,452
Andhra Pradesh,Palnadu,2025-01,6588
Andhra Pradesh,Palnadu,2025-02,26
Andhra Pradesh,Palnadu,2025-03,50
Andhra Pradesh,Palnadu,2025-04,33
Andhra Pradesh,Palnadu,2025-05,6
Andhra Pradesh,Palnadu,2025-06,36
Andhra Pradesh,Palnadu,2025-08,24
Andhra Pradesh,Palnadu,2025-09,22
Andhra Pradesh,Palnadu,2025-10,43
Andhra Pradesh,Palnadu,2025-11,24
Andhra Pradesh,Palnadu,2025-12,34
Andhra Pradesh,Palnadu,NaT,197
Andhra Pradesh,Parvathipuram Manyam,2025-01,7254
Andhra Pradesh,Parvathipuram Manyam,2025-02,30
Andhra Pradesh,Parvathipuram Manyam,2025-03,34
Andhra Pradesh,Parvathipuram Manyam,2025-04,28
Andhra Pradesh,Parvathipuram Manyam,2025-05,30
Andhra Pradesh,Parvathipuram Manyam,2025-06,32
Andhra Pradesh,Parvathipuram Manyam,2025-08,36
Andhra Pradesh,Parvathipuram Manyam,2025-09,39
Andhra Pradesh,Parvathipuram Manyam,2025-10,44
Andhra Pradesh,Parvathipuram Manyam,2025-11,51
Andhra Pradesh,Parvathipuram Manyam,2025-12,22
Andhra Pradesh,Parvathipuram Manyam,NaT,188
Andhra Pradesh,Prakasam,2025-01,141308
Andhra Pradesh,Prakasam,2025-02,668
Andhra Pradesh,Prakasam,2025-03,918
Andhra Pradesh,Prakasam,2025-04,568
Andhra Pradesh,Prakasam,2025-05,137
Andhra Pradesh,Prakasam,2025-06,629
Andhra Pradesh,Prakasam,2025-07,8
Andhra Pradesh,Prakasam,2025-08,601
Andhra Pradesh,Prakasam,2025-09,616
Andhra Pradesh,Prakasam,2025-10,926
Andhra Pradesh,Prakasam,2025-11,545
Andhra Pradesh,Prakasam,2025-12,628
Andhra Pradesh,Prakasam,NaT,3309
Andhra Pradesh,Rangareddi,2025-01,31240
Andhra Pradesh,Rangareddi,2025-02,334
Andhra Pradesh,Rangareddi,2025-03,517
Andhra Pradesh,Rangareddi,2025-04,317
Andhra Pradesh,Rangareddi,2025-05,91
Andhra Pradesh,Rangareddi,2025-06,131
Andhra Pradesh,Rangareddi,2025-07,21
Andhra Pradesh,Rangareddi,2025-08,210
Andhra Pradesh,Rangareddi,2025-09,362
Andhra Pradesh,Rangareddi,2025-10,560
Andhra Pradesh,Rangareddi,2025-11,331
Andhra Pradesh,Rangareddi,2025-12,322
Andhra Pradesh,Rangareddi,NaT,2037
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,5865
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,55
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,49
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,36
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,38
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,46
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,77
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,33
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,29
Andhra Pradesh,Sri Potti Sriramulu Nellore,NaT,178
Andhra Pradesh,Sri Sathya Sai,2025-01,6352
Andhra Pradesh,Sri Sathya Sai,2025-02,37
Andhra Pradesh,Sri Sathya Sai,2025-03,49
Andhra Pradesh,Sri Sathya Sai,2025-04,21
Andhra Pradesh,Sri Sathya Sai,2025-05,4
Andhra Pradesh,Sri Sathya Sai,2025-06,30
Andhra Pradesh,Sri Sathya Sai,2025-08,44
Andhra Pradesh,Sri Sathya Sai,2025-09,23
Andhra Pradesh,Sri Sathya Sai,2025-10,53
Andhra Pradesh,Sri Sathya Sai,2025-11,34
Andhra Pradesh,Sri Sathya Sai,2025-12,41
Andhra Pradesh,Sri Sathya Sai,NaT,202
Andhra Pradesh,Srikakulam,2025-01,130268
Andhra Pradesh,Srikakulam,2025-02,474
Andhra Pradesh,Srikakulam,2025-03,787
Andhra Pradesh,Srikakulam,2025-04,441
Andhra Pradesh,Srikakulam,2025-05,173
Andhra Pradesh,Srikakulam,2025-06,566
Andhra Pradesh,Srikakulam,2025-07,23
Andhra Pradesh,Srikakulam,2025-08,438
Andhra Pradesh,Srikakulam,2025-09,582
Andhra Pradesh,Srikakulam,2025-10,852
Andhra Pradesh,Srikakulam,2025-11,523
Andhra Pradesh,Srikakulam,2025-12,427
Andhra Pradesh,Srikakulam,NaT,3260
Andhra Pradesh,Tirupati,2025-01,6323
Andhra Pradesh,Tirupati,2025-02,50
Andhra Pradesh,Tirupati,2025-03,58
Andhra Pradesh,Tirupati,2025-04,44
Andhra Pradesh,Tirupati,2025-05,9
Andhra Pradesh,Tirupati,2025-06,43
Andhra Pradesh,Tirupati,2025-07,4
Andhra Pradesh,Tirupati,2025-08,50
Andhra Pradesh,Tirupati,2025-09,30
Andhra Pradesh,Tirupati,2025-10,58
