state,district,period,demographic_update_count
Andhra Pradesh,Karimnagar,2025-06,52
Andhra Pradesh,Karimnagar,2025-07,37
Andhra Pradesh,Karimnagar,2025-08,83
Andhra Pradesh,Karimnagar,2025-09,89
Andhra Pradesh,Karimnagar,2025-10,100
Andhra Pradesh,Karimnagar,2025-11,77
Andhra Pradesh,Karimnagar,2025-12,113
Andhra Pradesh,Karimnagar,NaT,1065
Andhra Pradesh,Khammam,2025-01,2131
Andhra Pradesh,Khammam,2025-02,174
Andhra Pradesh,Khammam,2025-03,411
Andhra Pradesh,Khammam,2025-04,430
Andhra Pradesh,Khammam,2025-05,162
Andhra Pradesh,Khammam,2025-06,169
Andhra Pradesh,Khammam,2025-07,211
Andhra Pradesh,Khammam,2025-08,211
Andhra Pradesh,Khammam,2025-09,267
Andhra Pradesh,Khammam,2025-10,294
Andhra Pradesh,Khammam,2025-11,311
Andhra Pradesh,Khammam,2025-12,299
Andhra Pradesh,Khammam,NaT,3035
Andhra Pradesh,Krishna,2025-01,13458
Andhra Pradesh,Krishna,2025-02,450
Andhra Pradesh,Krishna,2025-03,1139
Andhra Pradesh,Krishna,2025-04,848
Andhra Pradesh,Krishna,2025-05,519
Andhra Pradesh,Krishna,2025-06,591
Andhra Pradesh,Krishna,2025-07,458
Andhra Pradesh,Krishna,2025-08,985
Andhra Pradesh,Krishna,2025-09,691
Andhra Pradesh,Krishna,2025-10,632
Andhra Pradesh,Krishna,2025-11,644
Andhra Pradesh,Krishna,2025-12,695
Andhra Pradesh,Krishna,NaT,8351
Andhra Pradesh,Kurnool,2025-01,40120
Andhra Pradesh,Kurnool,2025-02,662
Andhra Pradesh,Kurnool,2025-03,834
Andhra Pradesh,Kurnool,2025-04,897
Andhra Pradesh,Kurnool,2025-05,775
Andhra Pradesh,Kurnool,2025-06,549
Andhra Pradesh,Kurnool,2025-07,754
Andhra Pradesh,Kurnool,2025-08,937
Andhra Pradesh,Kurnool,2025-09,623
Andhra Pradesh,Kurnool,2025-10,566
Andhra Pradesh,Kurnool,2025-11,777
Andhra Pradesh,Kurnool,2025-12,479
Andhra Pradesh,Kurnool,NaT,8724
Andhra Pradesh,Mahabub Nagar,2025-01,308
Andhra Pradesh,Mahabub Nagar,2025-02,75
Andhra Pradesh,Mahabub Nagar,2025-03,168
Andhra Pradesh,Mahabub Nagar,2025-04,246
Andhra Pradesh,Mahabub Nagar,2025-05,43
Andhra Pradesh,Mahabub Nagar,2025-06,97
Andhra Pradesh,Mahabub Nagar,2025-07,61
Andhra Pradesh,Mahabub Nagar,2025-08,120
Andhra Pradesh,Mahabub Nagar,2025-09,138
Andhra Pradesh,Mahabub Nagar,2025-10,170
Andhra Pradesh,Mahabub Nagar,2025-11,122
Andhra Pradesh,Mahabub Nagar,2025-12,33
Andhra Pradesh,Mahabub Nagar,NaT,1487
Andhra Pradesh,Mahabubnagar,2025-02,2
Andhra Pradesh,Mahabubnagar,2025-03,3
Andhra Pradesh,Mahabubnagar,2025-04,2
Andhra Pradesh,Mahabubnagar,2025-07,1
Andhra Pradesh,Mahabubnagar,2025-09,1
Andhra Pradesh,Mahabubnagar,2025-10,1
Andhra Pradesh,Mahabubnagar,2025-11,1
Andhra Pradesh,Mahabubnagar,NaT,8
Andhra Pradesh,Mahbubnagar,2025-01,883
Andhra Pradesh,Mahbubnagar,2025-02,36
Andhra Pradesh,Mahbubnagar,2025-03,96
Andhra Pradesh,Mahbubnagar,2025-04,162
Andhra Pradesh,Mahbubnagar,2025-05,63
Andhra Pradesh,Mahbubnagar,2025-06,49
Andhra Pradesh,Mahbubnagar,2025-07,83
Andhra Pradesh,Mahbubnagar,2025-08,114
Andhra Pradesh,Mahbubnagar,2025-09,139
Andhra Pradesh,Mahbubnagar,2025-10,80
Andhra Pradesh,Mahbubnagar,2025-11,62
Andhra Pradesh,Mahbubnagar,2025-12,55
Andhra Pradesh,Mahbubnagar,NaT,1085
Andhra Pradesh,Medak,2025-01,911
Andhra Pradesh,Medak,2025-02,53
Andhra Pradesh,Medak,2025-03,156
Andhra Pradesh,Medak,2025-04,168
Andhra Pradesh,Medak,2025-05,72
Andhra Pradesh,Medak,2025-06,92
Andhra Pradesh,Medak,2025-07,93
Andhra Pradesh,Medak,2025-08,85
Andhra Pradesh,Medak,2025-09,89
Andhra Pradesh,Medak,2025-10,112
Andhra Pradesh,Medak,2025-11,104
Andhra Pradesh,Medak,2025-12,123
Andhra Pradesh,Medak,NaT,1452
Andhra Pradesh,N. T. R,2025-01,6352
Andhra Pradesh,N. T. R,2025-02,103
Andhra Pradesh,N. T. R,2025-03,204
Andhra Pradesh,N. T. R,2025-04,109
Andhra Pradesh,N. T. R,2025-05,184
Andhra Pradesh,N. T. R,2025-06,200
Andhra Pradesh,N. T. R,2025-07,388
Andhra Pradesh,N. T. R,2025-08,62
Andhra Pradesh,N. T. R,2025-09,309
Andhra Pradesh,N. T. R,2025-10,116
Andhra Pradesh,N. T. R,2025-11,175
Andhra Pradesh,N. T. R,2025-12,321
Andhra Pradesh,N. T. R,NaT,2346
Andhra Pradesh,Nalgonda,2025-01,1369
Andhra Pradesh,Nalgonda,2025-02,152
Andhra Pradesh,Nalgonda,2025-03,287
Andhra Pradesh,Nalgonda,2025-04,562
Andhra Pradesh,Nalgonda,2025-05,120
Andhra Pradesh,Nalgonda,2025-06,92
Andhra Pradesh,Nalgonda,2025-07,136
Andhra Pradesh,Nalgonda,2025-08,271
Andhra Pradesh,Nalgonda,2025-09,183
Andhra Pradesh,Nalgonda,2025-10,285
Andhra Pradesh,Nalgonda,2025-11,148
Andhra Pradesh,Nalgonda,2025-12,120
Andhra Pradesh,Nalgonda,NaT,3584
Andhra Pradesh,Nandyal,2025-01,5641
Andhra Pradesh,Nandyal,2025-02,85
Andhra Pradesh,Nandyal,2025-03,118
Andhra Pradesh,Nandyal,2025-04,131
Andhra Pradesh,Nandyal,2025-05,75
Andhra Pradesh,Nandyal,2025-06,64
Andhra Pradesh,Nandyal,2025-07,73
Andhra Pradesh,Nandyal,2025-08,131
Andhra Pradesh,Nandyal,2025-09,138
Andhra Pradesh,Nandyal,2025-10,110
Andhra Pradesh,Nandyal,2025-11,50
Andhra Pradesh,Nandyal,2025-12,61
Andhra Pradesh,Nandyal,NaT,1100
Andhra Pradesh,Nellore,2025-01,6593
Andhra Pradesh,Nellore,2025-02,368
Andhra Pradesh,Nellore,2025-03,635
Andhra Pradesh,Nellore,2025-04,622
Andhra Pradesh,Nellore,2025-05,323
Andhra Pradesh,Nellore,2025-06,423
Andhra Pradesh,Nellore,2025-07,247
Andhra Pradesh,Nellore,2025-08,336
Andhra Pradesh,Nellore,2025-09,458
Andhra Pradesh,Nellore,2025-10,815
Andhra Pradesh,Nellore,2025-11,285
Andhra Pradesh,Nellore,2025-12,354
Andhra Pradesh,Nellore,NaT,5929
Andhra Pradesh,Nizamabad,2025-01,278
Andhra Pradesh,Nizamabad,2025-02,42
Andhra Pradesh,Nizamabad,2025-03,57
Andhra Pradesh,Nizamabad,2025-04,130
Andhra Pradesh,Nizamabad,2025-05,16
Andhra Pradesh,Nizamabad,2025-06,19
Andhra Pradesh,Nizamabad,2025-07,53
Andhra Pradesh,Nizamabad,2025-08,48
Andhra Pradesh,Nizamabad,2025-09,42
Andhra Pradesh,Nizamabad,2025-10,70
Andhra Pradesh,Nizamabad,2025-11,14
Andhra Pradesh,Nizamabad,2025-12,27
Andhra Pradesh,Nizamabad,NaT,622
Andhra Pradesh,Palnadu,2025-01,4934
Andhra Pradesh,Palnadu,2025-02,68
Andhra Pradesh,Palnadu,2025-03,124
Andhra Pradesh,Palnadu,2025-04,138
Andhra Pradesh,Palnadu,2025-05,103
Andhra Pradesh,Palnadu,2025-06,49
Andhra Pradesh,Palnadu,2025-07,93
Andhra Pradesh,Palnadu,2025-08,107
Andhra Pradesh,Palnadu,2025-09,189
Andhra Pradesh,Palnadu,2025-10,91
Andhra Pradesh,Palnadu,2025-11,40
Andhra Pradesh,Palnadu,2025-12,81
Andhra Pradesh,Palnadu,NaT,1564
Andhra Pradesh,Parvathipuram Manyam,2025-01,1748
Andhra Pradesh,Parvathipuram Manyam,2025-02,25
Andhra Pradesh,Parvathipuram Manyam,2025-03,45
Andhra Pradesh,Parvathipuram Manyam,2025-04,63
Andhra Pradesh,Parvathipuram Manyam,2025-05,38
Andhra Pradesh,Parvathipuram Manyam,2025-06,34
Andhra Pradesh,Parvathipuram Manyam,2025-07,79
Andhra Pradesh,Parvathipuram Manyam,2025-08,83
Andhra Pradesh,Parvathipuram Manyam,2025-09,61
Andhra Pradesh,Parvathipuram Manyam,2025-10,56
Andhra Pradesh,Parvathipuram Manyam,2025-11,29
Andhra Pradesh,Parvathipuram Manyam,2025-12,30
Andhra Pradesh,Parvathipuram Manyam,NaT,817
Andhra Pradesh,Prakasam,2025-01,11638
Andhra Pradesh,Prakasam,2025-02,555
Andhra Pradesh,Prakasam,2025-03,1012
Andhra Pradesh,Prakasam,2025-04,1033
Andhra Pradesh,Prakasam,2025-05,688
Andhra Pradesh,Prakasam,2025-06,504
Andhra Pradesh,Prakasam,2025-07,548
Andhra Pradesh,Prakasam,2025-08,1175
Andhra Pradesh,Prakasam,2025-09,544
Andhra Pradesh,Prakasam,2025-10,1235
Andhra Pradesh,Prakasam,2025-11,593
Andhra Pradesh,Prakasam,2025-12,548
Andhra Pradesh,Prakasam,NaT,10007
Andhra Pradesh,Rangareddi,2025-01,2158
Andhra Pradesh,Rangareddi,2025-02,122
Andhra Pradesh,Rangareddi,2025-03,198
Andhra Pradesh,Rangareddi,2025-04,288
Andhra Pradesh,Rangareddi,2025-05,116
Andhra Pradesh,Rangareddi,2025-06,75
Andhra Pradesh,Rangareddi,2025-07,144
Andhra Pradesh,Rangareddi,2025-08,264
Andhra Pradesh,Rangareddi,2025-09,181
Andhra Pradesh,Rangareddi,2025-10,224
Andhra Pradesh,Rangareddi,2025-11,116
Andhra Pradesh,Rangareddi,2025-12,182
Andhra Pradesh,Rangareddi,NaT,2189
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,3526
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,134
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,195
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,108
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,146
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,127
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,225
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,156
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,162
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,141
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,61
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,122
Andhra Pradesh,Sri Potti Sriramulu Nellore,NaT,1680
Andhra Pradesh,Sri Sathya Sai,2025-01,3652
Andhra Pradesh,Sri Sathya Sai,2025-02,73
Andhra Pradesh,Sri Sathya Sai,2025-03,142
Andhra Pradesh,Sri Sathya Sai,2025-04,175
Andhra Pradesh,Sri Sathya Sai,2025-05,41
Andhra Pradesh,Sri Sathya Sai,2025-06,130
Andhra Pradesh,Sri Sathya Sai,2025-07,101
Andhra Pradesh,Sri Sathya Sai,2025-08,109
Andhra Pradesh,Sri Sathya Sai,2025-09,149
Andhra Pradesh,Sri Sathya Sai,2025-10,152
Andhra Pradesh,Sri Sathya Sai,2025-11,77
Andhra Pradesh,Sri Sathya Sai,2025-12,98
Andhra Pradesh,Sri Sathya Sai,NaT,1580
Andhra Pradesh,Srikakulam,2025-01,25916
Andhra Pradesh,Srikakulam,2025-02,638
Andhra Pradesh,Srikakulam,2025-03,528
Andhra Pradesh,Srikakulam,2025-04,652
Andhra Pradesh,Srikakulam,2025-05,423
Andhra Pradesh,Srikakulam,2025-06,450
Andhra Pradesh,Srikakulam,2025-07,347
Andhra Pradesh,Srikakulam,2025-08,981
